uid,follower_uid
016c3369f0af,a4c278d9658d
016c3369f0af,ea68957cd16e
016c3369f0af,ebaf3b33e336
016c5fac8d3e,c86155e3d46b
016c5fac8d3e,d24ab0460abf
016c5fac8d3e,e1042532bafe
019ba575e7fd,4e54004ae980
019ba575e7fd,62e19ebeb18c
019ba575e7fd,79cc99512c82
019ba575e7fd,960e5b2f5b50
019ba575e7fd,b32acf88400b
019ba575e7fd,b5c1b845da1b
019ba575e7fd,d1503a174ff6
019ba575e7fd,e3ad7093601e
019ba575e7fd,f7f5f82850d5
019c92da7bd1,1717df671f62
019c92da7bd1,2362fb80a9b2
019c92da7bd1,2c09fd3484d8
019c92da7bd1,4ac20c36f539
019c92da7bd1,7253afebfeb2
019c92da7bd1,8492509cf413
019c92da7bd1,a94611abfb3b
019c92da7bd1,abb7e50239aa
019c92da7bd1,f04dbc3fe37b
01a11555ce9b,1e4ed38c329b
01a11555ce9b,44e3be9ba7e6
01a11555ce9b,73f713333d9e
01a11555ce9b,8148adaea391
01a11555ce9b,8d6f8cff6a12
01a11555ce9b,bf52adc62831
01a11555ce9b,e592626af6f0
01a11555ce9b,fc4a682a22d9
01a11555ce9b,fed4476a3631
01bb7bb5f55c,38d9bde6fa90
01bb7bb5f55c,4188e8fd8548
01bb7bb5f55c,5dc6783e4c72
01bb7bb5f55c,6ab1012b7e08
01bb7bb5f55c,8ee0ca1fd81c
01bb7bb5f55c,d57086690112
01bb7bb5f55c,ec7bbd6ebe03
01bb7bb5f55c,f52b235f2a48
01bb7bb5f55c,fc4e59141bb4
01cd55af51a7,01b15de09619
01cd55af51a7,2099fb51b955
01cd55af51a7,2516032209f9
01cd55af51a7,e0690b0f9d8e
01cfa0f25354,11a8f7bad278
01cfa0f25354,6664b326669d
01cfa0f25354,69df216188ea
01cfa0f25354,7bc0217d84b2
01cfa0f25354,820b607cdd2d
01cfa0f25354,8ab034aeef26
01cfa0f25354,aa9263e21ce0
01cfa0f25354,afeeb5988138
01cfa0f25354,c0f72ce1fd3e
01d5d81e9510,022e9ce29e80
01d5d81e9510,2a861b9f7a2c
01d5d81e9510,6dc0a28c7da0
01d5d81e9510,8ef2f3c542de
01d5d81e9510,a9d7d4af87d6
01d5d81e9510,af63d89620a9
01d5d81e9510,b09b8590c428
01d5d81e9510,bead28c5e3de
01d5d81e9510,d30379529855
02034cb145f7,157cb314aed6
02034cb145f7,2dce034455b2
02034cb145f7,3de185aae247
02034cb145f7,42db2f68cd5a
02034cb145f7,4dbb8bdb22ab
02034cb145f7,aa8bff90557e
02034cb145f7,cd68e41f5596
02034cb145f7,d38adc1cb1dc
02034cb145f7,d68f95908316
0205014095d8,3449ff4574c7
0205014095d8,3fdf90d3e4b9
0205014095d8,45c8cb22873d
0205014095d8,488658a7b25b
0205014095d8,76fc73ae4988
0205014095d8,7f86487a88e0
0205014095d8,83d4f914dc1d
0205014095d8,9685b5cbeacb
0205014095d8,e363f3860d4c
02080391d564,016e4986e864
02080391d564,171d91ff5a61
02080391d564,3718e8948d81
02080391d564,6f4dba7242c2
02080391d564,be6fc30fe10d
02080391d564,ce6c3d7bcac1
02080391d564,d3300f192c15
02080391d564,db8c0c1c4c99
02080391d564,f3092432a535
020bfe7f2ced,0c8f84a3f2ed
020bfe7f2ced,1f37feaa21ac
020bfe7f2ced,e18582b4ba4d
020c4f9b9e10,096b924cf891
020c4f9b9e10,1ada5d06f779
020c4f9b9e10,2c3b25d0a57b
020c4f9b9e10,2e4fd1ca90fa
020c4f9b9e10,5c2b24589d4b
020c4f9b9e10,6820053a6148
020c4f9b9e10,a3f7c1e20378
020c4f9b9e10,d5294d520c9a
020c4f9b9e10,f58db5e818c6
0210f39f3b8d,223d3f0b5854
0210f39f3b8d,24c9c00beee1
0210f39f3b8d,3d02c77db457
0210f39f3b8d,3f453eabbf80
0210f39f3b8d,6312b34623e8
0210f39f3b8d,9f80b7675a74
0210f39f3b8d,e395f7788ddc
0210f39f3b8d,f43f04450e40
0210f39f3b8d,fa7552aad993
0219b500a35e,09e5acba664a
0219b500a35e,3ebefe57ebc2
0219b500a35e,49f8d22fed0d
0219b500a35e,592db9a9e889
0219b500a35e,6a6cf658fbc7
0219b500a35e,76cec7eacbc0
0219b500a35e,7f1957649ce5
0219b500a35e,9aefe3dafba1
0219b500a35e,c9c3f100a3aa
021f588311dc,2a748df3a534
021f588311dc,5ac01cde3e8a
021f588311dc,66f1e48f68b6
021f588311dc,6ebc7df82528
021f588311dc,a6307a4c9e47
021f588311dc,c4216af40fcb
021f588311dc,d251aebe4796
021f588311dc,e23824ce4e86
021f588311dc,f705e2eec0a3
021f758f35a9,3c790ff70fd4
021f758f35a9,3ebefe57ebc2
021f758f35a9,4c2094ebb372
021f758f35a9,65374101534f
021f758f35a9,671cda2a5974
021f758f35a9,a45ed80a5306
021f758f35a9,ae4409a63026
021f758f35a9,d0d38558a72a
021f758f35a9,dced7febe3e8
02209569a4a4,0244b64dd0f7
02209569a4a4,181c16e45188
02209569a4a4,21489712b6a3
02209569a4a4,4ba9c670e55b
02209569a4a4,586c4b27aec9
02209569a4a4,5a358198a9fc
02209569a4a4,5bcc76a25f00
02209569a4a4,99b0de022595
02209569a4a4,dc9780b83d12
0220d5dcab5f,4cfc2bf7a242
0220d5dcab5f,5076d8fad659
0220d5dcab5f,56bf8f3c5908
0220d5dcab5f,606875cb8c60
0220d5dcab5f,62171c93dc12
0220d5dcab5f,8b5be86ef333
0220d5dcab5f,917c12469c96
0220d5dcab5f,c00267d1d5bb
0220d5dcab5f,ed48361115cd
022aabe05d92,02aec8e21d3a
022aabe05d92,37d6e95f24b9
022aabe05d92,45cb138a325e
022aabe05d92,532303e0bbeb
022aabe05d92,672d1a538441
022aabe05d92,ace03248850b
022aabe05d92,af8cfbf7cff2
022aabe05d92,caf9fdb0194b
022aabe05d92,fc8575e77162
022fda40cf6a,07e511cf7f02
022fda40cf6a,229a7d8a56b6
022fda40cf6a,4e042485b483
022fda40cf6a,6f3a61f82eb1
022fda40cf6a,76f100277bfa
022fda40cf6a,82b6b66f4b12
022fda40cf6a,c497c05ccff8
022fda40cf6a,d4a13701e1de
022fda40cf6a,d5cfe39ba637
023ab215042c,0bba0c36ed8d
023ab215042c,2f376f777ef1
023ab215042c,41134d837d5f
023ab215042c,9ecfc6f39211
023ab215042c,9f4a3f1da8c9
023ab215042c,be54d2213eca
023ab215042c,e1f3ceaa3bf5
023f9034bc5c,09b3f2930362
023f9034bc5c,1cb3b53aded3
023f9034bc5c,3820740af49a
023f9034bc5c,78228602bb62
023f9034bc5c,8384c183441c
023f9034bc5c,8f79f22c7ac4
023f9034bc5c,8fc12ef4b3f7
023f9034bc5c,a83a870ce33b
023f9034bc5c,a85449d72cc9
024055dad2b7,0d0213fb222c
024055dad2b7,3917409c2546
024055dad2b7,7bc59d3d3302
024055dad2b7,a54f82559ce4
024055dad2b7,bad52d921386
024055dad2b7,d4309253c9c4
024055dad2b7,ecbb4b470824
024055dad2b7,fcf07b440349
0280ebfaf253,118f88d472bc
0280ebfaf253,2f16a80726bf
0280ebfaf253,2fd295facb1e
0280ebfaf253,ae17e58db6ae
0280ebfaf253,cfddb299b3a8
0280ebfaf253,db54d9f50f97
0280ebfaf253,e4007ae3ab4c
0280ebfaf253,ef606622f552
0280ebfaf253,ffc26d70b37f
0293a04839f0,03dc81a20b79
0293a04839f0,0c852dd5e473
0293a04839f0,0c85d54ed053
0293a04839f0,27418a95e35a
0293a04839f0,2aad5d0c3a08
0293a04839f0,58b7f4c9077c
0293a04839f0,8a565497e539
0293a04839f0,a34b062c37a2
0293a04839f0,ead8bd124f2d
029f61afdcdd,18ff6a078077
029f61afdcdd,3dcf56c88c4b
029f61afdcdd,43d1064d7c58
029f61afdcdd,725245d92469
029f61afdcdd,81bff959d4ca
029f61afdcdd,ba6aaa25dbb7
029f61afdcdd,bc0cae74f418
029f61afdcdd,c43a746c9b42
029f61afdcdd,f420f6b9f95c
02a41485ce81,02ed07cffd85
02a41485ce81,6e9ee02b2848
02a41485ce81,9c10fee59569
02a41485ce81,b08aa48ae525
02a41485ce81,cc48e500bd43
02a41485ce81,fefe4763307a
02a488e1e71e,099c0117c4b2
02a488e1e71e,405859207c83
02a488e1e71e,563651854de6
02a488e1e71e,60578b961617
02a488e1e71e,c5fd1ddeac03
02a488e1e71e,de0ea192a512
02a488e1e71e,dea3cd9fc359
02a488e1e71e,e9304c5576c8
02a488e1e71e,f0b11432b297
02a5db6fe1b1,27650a8d7646
02a5db6fe1b1,3b67b6800903
02a5db6fe1b1,840bbf56ba33
